original_text,reframed_text,strategy,original_with_label
I need to get away from this city for a bit. I can't wait for the holidays to be over so I can leave.,I'm thankful for everything this city gave me! So many memories!,['thankfulness'],I need to get away from this city for a bit. I can't wait for the holidays to be over so I can leave. Strategy: ['thankfulness']
Hate when people try to guilt trip you into something you told them no to 5 freaking times! Take a freaking hint.,I don’t like it when people try to guilt -trip you to something even after you told no to them. Hope people change for the better.,"['neutralizing', 'optimism', 'self_affirmation']","Hate when people try to guilt trip you into something you told them no to 5 freaking times! Take a freaking hint. Strategy: ['neutralizing', 'optimism', 'self_affirmation']"
Why does it have to be so hard to network if you are into gaming I am so,I'm glad networking with gaming comes very easily for me.,"['optimism', 'thankfulness']","Why does it have to be so hard to network if you are into gaming I am so Strategy: ['optimism', 'thankfulness']"
"Children with autism use stereotypic behavior or repetitive behaviors when they are excited, bored, or .",Children with autism tend to demonstrate stereotypic behavior or repetitive behaviors when they are excited or bored.,['neutralizing'],"Children with autism use stereotypic behavior or repetitive behaviors when they are excited, bored, or . Strategy: ['neutralizing']"
I have less than 2 hours to get home and make mashed potatoes from scratch!!,"I have less than 2 hours to get home and make mashed potatoes from scratch, once I make them I'll be so relieved.",['impermanence'],I have less than 2 hours to get home and make mashed potatoes from scratch!! Strategy: ['impermanence']
If no one sees me for a while it's because I've climbed in a dark hole and don't wanna be found for a while.,"I'm going to take some time to take care of myself for a while, so don't worry if you don't see me.","['growth', 'neutralizing']","If no one sees me for a while it's because I've climbed in a dark hole and don't wanna be found for a while. Strategy: ['growth', 'neutralizing']"
Like I know what I want so why can't it just happen ? Or would that just be to easy? life frustrated,"Like I know what I want, but I know it won't just happen. You have to work for your dreams.",['growth'],Like I know what I want so why can't it just happen ? Or would that just be to easy? life frustrated Strategy: ['growth']
I just need a few drinks in my life and that's what I'll be doing tonight.,Drinking is a great way to cheer oneself. So that's on the cards tonight:),['neutralizing'],I just need a few drinks in my life and that's what I'll be doing tonight. Strategy: ['neutralizing']
It will be a miracle if I don't have a mental breakdown before this week is over.,The week will be over soon. I will make it through.,['impermanence'],It will be a miracle if I don't have a mental breakdown before this week is over. Strategy: ['impermanence']
The feeling where the amount of precious time you spent on studying wasn't worth it,Because I spent a long time studying it means I will be a better person and more knowledgeable.,['growth'],The feeling where the amount of precious time you spent on studying wasn't worth it Strategy: ['growth']
"I am so upset right now, I havent liked anybodys post in the past 24 hours, I think I have run out of likes or have hit my like limit.","I haven't liked anybodys posts in the past 24 hours, I think I need to be more encouraging.",['growth'],"I am so upset right now, I havent liked anybodys post in the past 24 hours, I think I have run out of likes or have hit my like limit. Strategy: ['growth']"
So Ive been binge watching Luther over the passed few days and I love it and but I cant understand why no one ever calls the police! Theres a bloody murderer in your house! Pick up a phooooone!!,"I've been binge-watching Luther over the past few days, and I love it, but I can't understand why the police aren't called.",['neutralizing'],So Ive been binge watching Luther over the passed few days and I love it and but I cant understand why no one ever calls the police! Theres a bloody murderer in your house! Pick up a phooooone!! Strategy: ['neutralizing']
"I have a huge project due tomorrow morning. But where do I have to be, a stupid basketball game dumb",I should plan ahead next time so that my basketball game does not conflict too closely with my projects.,['growth'],"I have a huge project due tomorrow morning. But where do I have to be, a stupid basketball game dumb Strategy: ['growth']"
Just got off of work. Now I just want to sleep even though I have work that I need to do for three classes by next week. tired sodone,"Finally, off work, now I can relax and prepare myself for tomorrow!","['growth', 'impermanence']","Just got off of work. Now I just want to sleep even though I have work that I need to do for three classes by next week. tired sodone Strategy: ['growth', 'impermanence']"
"If I make I through today, it will be a work of God. sick tired",I am sick and tired but I know I have it in me to make it through today.,"['neutralizing', 'optimism', 'self_affirmation']","If I make I through today, it will be a work of God. sick tired Strategy: ['neutralizing', 'optimism', 'self_affirmation']"
I hope this day gets better but from the looks of it I think it's going downhill fast! stressed,"This day will be better the later it goes on, and I will feel good.",['optimism'],I hope this day gets better but from the looks of it I think it's going downhill fast! stressed Strategy: ['optimism']
This is not good I went from Weighing 120 pounds at the beginning of this year too now I weigh 96 pounds,I went from weighting 120 pounds to 96 pounds which can be good since I will have lower cholesterol.,['neutralizing'],This is not good I went from Weighing 120 pounds at the beginning of this year too now I weigh 96 pounds Strategy: ['neutralizing']
This week is going to be extremely shitty and I can already see it coming,"I know I can handle what this week has in store for me, no matter how it starts off!","['optimism', 'self_affirmation']","This week is going to be extremely shitty and I can already see it coming Strategy: ['optimism', 'self_affirmation']"
Wish i could make a decision about what i wanted to do with my life stressed,too interested in different things to know exactly what I want to do with my life #jackofalltrades,['self_affirmation'],Wish i could make a decision about what i wanted to do with my life stressed Strategy: ['self_affirmation']
This was not the way I wanted my morning to start. I just want a good day for once.. All day long. impossible,"This was not the way I wanted my morning to start. I just wanted a good day, but I'm sure tomorrow will be better.",['optimism'],This was not the way I wanted my morning to start. I just want a good day for once.. All day long. impossible Strategy: ['optimism']
UGH we have to sample all our heme manuallydo you know how hard it is to keep up with a slow Sysmex with 3 other instruments?,It’s hard to sample all our heme manually with a slow sysmex but I know we can do it!.,"['neutralizing', 'optimism']","UGH we have to sample all our heme manuallydo you know how hard it is to keep up with a slow Sysmex with 3 other instruments? Strategy: ['neutralizing', 'optimism']"
Whoever thought of the song I love college must have been retarded. I hate college.,"The tastes of others and mine do not agree, but that is the beauty of diversity in opinions.","['optimism', 'thankfulness']","Whoever thought of the song I love college must have been retarded. I hate college. Strategy: ['optimism', 'thankfulness']"
"I thought I was going to go to bed early, boy did I think wrong. cantsleep insomnia",I'm sure I will sleep better tomorrow night.,['optimism'],"I thought I was going to go to bed early, boy did I think wrong. cantsleep insomnia Strategy: ['optimism']"
not sleeping because I have so much shit to do before school starts on Monday <;<;<;<;<;<;<;,I'm not sleeping that much lately as I have a lot of things to do before classes on Monday but I understand it's just a period and that period has its good part.,['optimism'],not sleeping because I have so much shit to do before school starts on Monday <;<;<;<;<;<;<; Strategy: ['optimism']
damn I only have half an hour to an hour to finish my last paper idk if I can do it finials senior allnighter,"Only an hour left, and I'm done with my last paper of senior year!","['growth', 'neutralizing', 'optimism']","damn I only have half an hour to an hour to finish my last paper idk if I can do it finials senior allnighter Strategy: ['growth', 'neutralizing', 'optimism']"
Took me hour and half to get to a place in gloucester fucking joke!!! Cheers sat nav for taking me through bus lanes etc,"It took me 1.5 hrs to get a place in gloucester, but thankfully im finally here.","['neutralizing', 'thankfulness']","Took me hour and half to get to a place in gloucester fucking joke!!! Cheers sat nav for taking me through bus lanes etc Strategy: ['neutralizing', 'thankfulness']"
Failure is never okay with me. Particularly when it has to do w/my future I'll be at the library all day studying if you need me.,I will never fail. I will be amazing!,"['growth', 'neutralizing']","Failure is never okay with me. Particularly when it has to do w/my future I'll be at the library all day studying if you need me. Strategy: ['growth', 'neutralizing']"
Gonna fail tomorrow. Will be a 10 minute presentation of hell where I will want the ground to swallow me up. unprepared,Next time I will be more prepared for long presentations and avoid failing them.,['growth'],Gonna fail tomorrow. Will be a 10 minute presentation of hell where I will want the ground to swallow me up. unprepared Strategy: ['growth']
I WILL be able to get a different phone because the one I got today sucks! confusing,I am going to get a new phone which is good.,['growth'],I WILL be able to get a different phone because the one I got today sucks! confusing Strategy: ['growth']
"Stupid - Case Study, BSL Assessment, Presentation, Exam on Psychobiology and Applied Psychology. The next few weeks going to be fun..",I hope I do well in my exams that are scheduled for the next few weeks.,"['growth', 'impermanence']","Stupid - Case Study, BSL Assessment, Presentation, Exam on Psychobiology and Applied Psychology. The next few weeks going to be fun.. Strategy: ['growth', 'impermanence']"
It takes me at least five days in advance to figure out what to wear for AC..,"But when I get dressed, I am always satisfied.",['self_affirmation'],It takes me at least five days in advance to figure out what to wear for AC.. Strategy: ['self_affirmation']
City roads are NOT for a girl that grew up in the country! FML Scary,The roads in the country are much safer than the ones in the city.,['neutralizing'],City roads are NOT for a girl that grew up in the country! FML Scary Strategy: ['neutralizing']
"Well if things work out, ill be going to the doctors tomorrow. Hopefully it's nothing to bad. worried","Going to the doctor tomorrow, thanks for everyone that has been wishing me well, I am sure it's nothing bad","['optimism', 'thankfulness']","Well if things work out, ill be going to the doctors tomorrow. Hopefully it's nothing to bad. worried Strategy: ['optimism', 'thankfulness']"
This has been like the worst week ever im so done with everything. sick tired,I made it to the end of the most challenging week ever!,['optimism'],This has been like the worst week ever im so done with everything. sick tired Strategy: ['optimism']
"I know it's politically incorrect to hate on babies, but some of them really are arseholes!! screaming","Babies can be really difficult sometimes, shout out to all the moms and dads that deal with them with grace!","['neutralizing', 'optimism']","I know it's politically incorrect to hate on babies, but some of them really are arseholes!! screaming Strategy: ['neutralizing', 'optimism']"
REALLY don't wanna write this paper. I'm sick of putting so much effort into school work only to get bad grades. I need a break,"Even though my grades are not good, I am committed to improving these grades.",['optimism'],REALLY don't wanna write this paper. I'm sick of putting so much effort into school work only to get bad grades. I need a break Strategy: ['optimism']
It seems like all I do is sleep work sleep work sleep work.. tired of being a grown-up.. I wanna be like 8 again!!,"So much work and few hours of sleep, make me miss and want to go back in time to better enjoy the life of a child. Never come back.","['neutralizing', 'optimism']","It seems like all I do is sleep work sleep work sleep work.. tired of being a grown-up.. I wanna be like 8 again!! Strategy: ['neutralizing', 'optimism']"
An ice cold Rekorderlig after one of the crappiest days at work in a while shattered,An ice-cold Rekorderlig after a long day at work,['optimism'],An ice cold Rekorderlig after one of the crappiest days at work in a while shattered Strategy: ['optimism']
Dance dreams are the worst. I seriously can't handle another dream about breaking my neck or back,"Dance dreams are the worst haha, because I want to dance, and I can handle breaking my neck or back",['neutralizing'],Dance dreams are the worst. I seriously can't handle another dream about breaking my neck or back Strategy: ['neutralizing']
If I don't have gray hair by the end of the week it'll be a miracle,"The semester is very stressful, but I need to remain calm because it is coming to an end.","['neutralizing', 'optimism']","If I don't have gray hair by the end of the week it'll be a miracle Strategy: ['neutralizing', 'optimism']"
Life can be so stressful sometimes! I need a hot bubble bath and a cold drink.,I need a hot bubble bath and a cold drink. To relieve the stress.,['impermanence'],Life can be so stressful sometimes! I need a hot bubble bath and a cold drink. Strategy: ['impermanence']
Would like to thank for not delivering half the stuff I need to cook for seven people today!,I hope people deliver the ordered stuff correctly on time.,['neutralizing'],Would like to thank for not delivering half the stuff I need to cook for seven people today! Strategy: ['neutralizing']
If its not one thingits another. Nd if its not that its something else I really wanna say FUCK EVERYTHING!!! nd I just might,"I hate everything that is happening, but it won't last forever.",['impermanence'],If its not one thingits another. Nd if its not that its something else I really wanna say FUCK EVERYTHING!!! nd I just might Strategy: ['impermanence']
"I have the sudden urge to dye my hair dark brown, join the military, and buy a puppy.","I am ready to start doing something new, I feel like a puppy would be great.","['neutralizing', 'optimism']","I have the sudden urge to dye my hair dark brown, join the military, and buy a puppy. Strategy: ['neutralizing', 'optimism']"
"I dont trust him and his Etonian cronies who have millions stashed away in off shore funds as far as I could push them - they are a disgrace to the human race!! Also BJs looking knackered now as well, I wonder why??",Not trusting people is a right that everyone has and after all we are not obliged to trust everyone.,['impermanence'],"I dont trust him and his Etonian cronies who have millions stashed away in off shore funds as far as I could push them - they are a disgrace to the human race!! Also BJs looking knackered now as well, I wonder why?? Strategy: ['impermanence']"
"Why is it that when one thing goes wrong, a million things start to get bad? confused",Lots of things haven’t gone my way at the moment but I know this is just a stage in life and things will start to get better.,"['growth', 'neutralizing', 'optimism']","Why is it that when one thing goes wrong, a million things start to get bad? confused Strategy: ['growth', 'neutralizing', 'optimism']"
well it's starting at the right time because I am and need to take some anger out!!!,I hope I can take some time out so that I can channel my anger in the right direction and get some peace of mind.,['optimism'],well it's starting at the right time because I am and need to take some anger out!!! Strategy: ['optimism']
I'm so hungry but when i try and eat i feel sick and can't eat,"I'm hungry, but when I try to eat I feel sick and can't eat. Fortunately, I took a medicine and soon I'll be better.",['optimism'],I'm so hungry but when i try and eat i feel sick and can't eat Strategy: ['optimism']
"Why do I get upset all the time? Hate being by meself, get emotional easier.",The good thing about being alone all the time is that I can focus on my personal projects and myself!,"['neutralizing', 'optimism']","Why do I get upset all the time? Hate being by meself, get emotional easier. Strategy: ['neutralizing', 'optimism']"
